created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
08/25/2015,172696,230597,POINT (-73.9644137957568 40.64076796008712),8,0,OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,3or4,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,382 MARLBOROUGH ROAD,11226,Brooklyn,314,3,Brooklyn,40,44,21,BK42,Flatbush,3052000,New York,40.64076796,-73.9644138,994126.1387,172727.429529
08/31/2015,192198,203574,POINT (-74.03426112255148 40.61972027428928),15,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,235 92 STREET,11209,Brooklyn,310,3,Brooklyn,43,46,22,BK31,Bay Ridge,3005800,New York,40.61972027,-74.03426112,974738.60825,165059.048541
09/08/2015,210886,107784,POINT (-73.95479621610161 40.77500045641782),9,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,1or2,None,NoDamage,Volunteer,"RootOther,TrunkOther,BranchOther",No,No,Yes,No,No,Yes,No,No,Yes,235 EAST 81 STREET,10028,New York,108,1,Manhattan,5,76,28,MN32,Yorkville,1013800,New York,40.77500046,-73.95479622,996770.041221,221633.605339
09/04/2015,201893,515670,POINT (-73.8499358504033 40.903343634276425),8,0,OffsetFromCurb,Alive,Good,Tilia cordata,littleleaf linden,1or2,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,701 CRANFORD AVENUE,10470,Bronx,212,2,Bronx,11,81,36,BX62,Woodlawn-Wakefield,2044200,New York,40.90334363,-73.84993585,1025732.97476,268426.126255
08/20/2015,163271,107596,POINT (-73.95472725073746 40.77224360256819),4,0,OnCurb,Alive,Good,Fagus sylvatica,European beech,1or2,Harmful,Damage,Volunteer,"RootOther,TrunkOther",No,No,Yes,No,No,Yes,No,No,No,318 EAST 78 STREET,10075,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1013400,New York,40.7722436,-73.95472725,996789.661589,220629.20118
09/08/2015,209796,516281,POINT (-73.84981963419389 40.81388862101913),7,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,300 OLMSTEAD AVENUE,10473,Bronx,209,2,Bronx,18,85,34,BX09,Soundview-Castle Hill-Clason Point-Harding Park,2000400,New York,40.81388862,-73.84981963,1025820.97787,235834.316439
08/29/2015,187821,301587,POINT (-73.90411503664184 40.771226204190306),3,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,42-020 DITMARS BOULEVARD,11105,Astoria,401,4,Queens,22,36,12,QN72,Steinway,4011900,New York,40.7712262,-73.90411504,1010808.6516,220269.824274
08/18/2015,155737,106440,POINT (-73.97632434829121 40.783958487431995),8,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,158 WEST 81 STREET,10024,New York,107,1,Manhattan,6,69,29,MN12,Upper West Side,1016500,New York,40.78395849,-73.97632435,990806.536744,224894.974472
08/21/2015,163775,226380,POINT (-73.95305624662844 40.67592682772202),10,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,Volunteer,"Stones,RootOther",Yes,No,Yes,No,No,No,No,No,No,1381 BEDFORD AVENUE,11216,Brooklyn,308,3,Brooklyn,36,57,25,BK61,Crown Heights North,3022100,New York,40.67592683,-73.95305625,997271.302358,185538.268737
08/30/2015,188043,410377,POINT (-74.1824125041846 40.520963812908086),12,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,1or2,None,Damage,TreesCount Staff,"Stones,TrunkOther,BranchOther",Yes,No,No,No,No,Yes,No,No,Yes,190 SWAIM AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5019800,New York,40.52096381,-74.1824125,933534.716576,129130.579715
